Summary
-------

Measuring unpaused time only

elapsed 12013055 ms (200m 13s)
 dfhack   200305 ms (  1.67% of elapsed)


DFHack details
--------------

keybinding        0 ms (  0.00% of dfhack,   0.00% of elapsed)
    update    35023 ms ( 17.48% of dfhack,   0.29% of elapsed)
   overlay   165267 ms ( 82.51% of dfhack,   1.38% of elapsed)
   zscreen       15 ms (  0.01% of dfhack,   0.00% of elapsed)


Update details
--------------

  event manager    11067 ms ( 31.60% of update,   0.09% of elapsed)
plugin onUpdate    15592 ms ( 44.52% of update,   0.13% of elapsed)
     lua timers     6905 ms ( 19.72% of update,   0.06% of elapsed)


Event manager per event type
----------------------------

            JOB_COMPLETED     4818 ms ( 43.53% of event manager,   0.04% of elapsed)
              JOB_STARTED     4260 ms ( 38.49% of event manager,   0.04% of elapsed)
               UNIT_DEATH     1159 ms ( 10.47% of event manager,   0.01% of elapsed)
            JOB_INITIATED      298 ms (  2.69% of event manager,   0.00% of elapsed)
                 BUILDING      110 ms (  0.99% of event manager,   0.00% of elapsed)
          UNIT_NEW_ACTIVE       95 ms (  0.86% of event manager,   0.00% of elapsed)

                framework      327 ms (  2.95% of event manager,   0.00% of elapsed)
            all subtimers    10740 ms ( 97.05% of event manager,   0.09% of elapsed)


Event manager JOB_STARTED event per plugin
------------------------------------------

                   burrow       31 ms (  0.73% of event type,   0.00% of elapsed)

                framework     4229 ms ( 99.27% of event type,   0.04% of elapsed)
            all subtimers       31 ms (  0.73% of event type,   0.00% of elapsed)


Event manager BUILDING event per plugin
---------------------------------------


                framework      110 ms (100.00% of event type,   0.00% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager JOB_INITIATED event per plugin
--------------------------------------------

                 eventful       32 ms ( 10.74% of event type,   0.00% of elapsed)

                framework      266 ms ( 89.26% of event type,   0.00% of elapsed)
            all subtimers       32 ms ( 10.74% of event type,   0.00% of elapsed)


Event manager UNIT_DEATH event per plugin
-----------------------------------------


                framework     1159 ms (100.00% of event type,   0.01% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager JOB_COMPLETED event per plugin
--------------------------------------------


                framework     4818 ms (100.00% of event type,   0.04% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Event manager UNIT_NEW_ACTIVE event per plugin
----------------------------------------------


                framework       95 ms (100.00% of event type,   0.00% of elapsed)
            all subtimers        0 ms (  0.00% of event type,   0.00% of elapsed)


Update per plugin
-----------------

                  overlay    12094 ms ( 77.57% of update,   0.10% of elapsed)
           preserve-rooms      249 ms (  1.60% of update,   0.00% of elapsed)
             buildingplan      249 ms (  1.60% of update,   0.00% of elapsed)
     RemoteFortressReader      159 ms (  1.02% of update,   0.00% of elapsed)
           preserve-tombs      139 ms (  0.89% of update,   0.00% of elapsed)
   army-controller-sanity      125 ms (  0.80% of update,   0.00% of elapsed)
                  3dveins      124 ms (  0.80% of update,   0.00% of elapsed)
              autobutcher       94 ms (  0.60% of update,   0.00% of elapsed)
                logistics       93 ms (  0.60% of update,   0.00% of elapsed)
               stonesense       63 ms (  0.40% of update,   0.00% of elapsed)
           suspendmanager       63 ms (  0.40% of update,   0.00% of elapsed)
              add-spatter       62 ms (  0.40% of update,   0.00% of elapsed)
                  hotkeys       48 ms (  0.31% of update,   0.00% of elapsed)
             autoclothing       48 ms (  0.31% of update,   0.00% of elapsed)
                  dig-now       48 ms (  0.31% of update,   0.00% of elapsed)
                autolabor       47 ms (  0.30% of update,   0.00% of elapsed)
                tiletypes       47 ms (  0.30% of update,   0.00% of elapsed)
                 autoslab       45 ms (  0.29% of update,   0.00% of elapsed)
             infinite-sky       32 ms (  0.21% of update,   0.00% of elapsed)
                 autofarm       32 ms (  0.21% of update,   0.00% of elapsed)
                  liquids       32 ms (  0.21% of update,   0.00% of elapsed)
              strangemood       31 ms (  0.20% of update,   0.00% of elapsed)
                 autodump       31 ms (  0.20% of update,   0.00% of elapsed)
                   tailor       31 ms (  0.20% of update,   0.00% of elapsed)
               stockpiles       31 ms (  0.20% of update,   0.00% of elapsed)
                   misery       31 ms (  0.20% of update,   0.00% of elapsed)
                    tweak       31 ms (  0.20% of update,   0.00% of elapsed)
                   deramp       31 ms (  0.20% of update,   0.00% of elapsed)
                   design       31 ms (  0.20% of update,   0.00% of elapsed)
                 spectate       31 ms (  0.20% of update,   0.00% of elapsed)
              changelayer       31 ms (  0.20% of update,   0.00% of elapsed)
               timestream       31 ms (  0.20% of update,   0.00% of elapsed)
                  aquifer       31 ms (  0.20% of update,   0.00% of elapsed)
                 eventful       31 ms (  0.20% of update,   0.00% of elapsed)
                   reveal       30 ms (  0.19% of update,   0.00% of elapsed)
                      dig       30 ms (  0.19% of update,   0.00% of elapsed)
               cleanowned       30 ms (  0.19% of update,   0.00% of elapsed)
                   burrow       16 ms (  0.10% of update,   0.00% of elapsed)
                seedwatch       16 ms (  0.10% of update,   0.00% of elapsed)
                 showmood       16 ms (  0.10% of update,   0.00% of elapsed)
                 cleaners       16 ms (  0.10% of update,   0.00% of elapsed)
               cleanconst       16 ms (  0.10% of update,   0.00% of elapsed)
            fix-occupancy       16 ms (  0.10% of update,   0.00% of elapsed)
                   stocks       16 ms (  0.10% of update,   0.00% of elapsed)
                    flows       16 ms (  0.10% of update,   0.00% of elapsed)
                     lair       16 ms (  0.10% of update,   0.00% of elapsed)
               xlsxreader       16 ms (  0.10% of update,   0.00% of elapsed)
                    debug       16 ms (  0.10% of update,   0.00% of elapsed)
                 autochop       16 ms (  0.10% of update,   0.00% of elapsed)
                blueprint       16 ms (  0.10% of update,   0.00% of elapsed)
               createitem       16 ms (  0.10% of update,   0.00% of elapsed)
             pet-uncapper       15 ms (  0.10% of update,   0.00% of elapsed)
                fastdwarf       15 ms (  0.10% of update,   0.00% of elapsed)
                cxxrandom       15 ms (  0.10% of update,   0.00% of elapsed)
                     sort       15 ms (  0.10% of update,   0.00% of elapsed)
                nestboxes       15 ms (  0.10% of update,   0.00% of elapsed)

                framework      907 ms (  5.82% of update,   0.01% of elapsed)
            all subtimers    14685 ms ( 94.18% of update,   0.12% of elapsed)


State change per plugin
-----------------------

                      dig       16 ms (  0.10% of update,   0.00% of elapsed)

                framework    15576 ms ( 99.90% of update,   0.13% of elapsed)
            all subtimers       16 ms (  0.10% of update,   0.00% of elapsed)


Lua timer details
-----------------

         control-panel/fix/noexert-exhaustion     1914 ms ( 27.72% of lua timers,   0.02% of elapsed)
                  control-panel/fix/ownership      782 ms ( 11.33% of lua timers,   0.01% of elapsed)
